1,2,2,2,2,2,6,2,2,6,2,2,2,2,3
13,9,40,28,14,19,18,34,35,18,19,40,28,14,15
13,63,51,50,50,51,30,51,51,30,51,50,50,52,15
13,63,48,4,26,5,48,48,48,48,4,26,5,48,15
13,63,48,15,12,13,48,49,48,42,15,0,13,48,15
13,63,48,15,0,13,48,48,48,48,15,0,13,42,15
13,63,48,15,0,13,48,49,48,48,15,12,13,49,15
13,63,48,15,24,13,42,48,48,48,15,0,13,48,15
13,63,48,16,6,17,48,48,49,42,16,6,17,48,15
13,63,48,57,18,59,48,48,48,48,57,18,59,48,15
13,63,48,50,30,50,42,48,48,48,50,30,50,48,15
13,63,48,48,48,48,48,48,49,48,48,48,42,48,15
13,63,42,48,48,48,48,48,48,48,48,49,48,49,15
13,63,48,48,42,49,48,42,48,42,49,48,48,48,15
25,26,26,26,26,26,26,26,26,26,26,26,26,26,27
